id,id_company,Currency,id_currency,Sector,id_sector,Target Customer,id_target_customer,Country,id_country,Deal Team,id_deal_team,Financial Quarter,End of Quarter,Revenue Run Rate (RRR),Net New ARR,cARR,ARR YoY Growth (in %),Revenue,LTM Revenue,Revenue as % of ARR,Revenue YoY Growth (in %),Subscription,Professional Services,Other Non-Recurring,COGS,Gross Profit,Gross Margin (in %),Operating Expenses,Opex as % of Revenue,Opex YoY Growth (in %),Sales & Marketing,S&M as % of Revenue,S&M Expenses YoY Growth (in %),Research & Development,R&D as % of Revenue,R&D Expenses YoY Growth (in %),General & Administrative,G&A as % of Revenue,G&A Expenses YoY Growth (in %),EBITDA,Depreciation and Amortization,EBIT,Interest Income,Interest Expenses,Taxes,Other,Net Income,Cash Burn (OCF & ICF),Monthly Burn (Qtly. avg),Financing Cash Flow (FCF),Ending cash,Cash Runway (Months),Total Current Assets (excluding Cash),Total Current Liabilities,Working Capital,Financial Debt,New ARR,Expansion & Upsell,Churn & Reduction,Gross New ARR,GNARR YoY Growth (in %),Expansion & Upsell (in %),Churn & Reduction (in %),Annualized $ Expansion & Upsell (in %),Annualized $ Churn & Reduction (in %),Expansion & Upsell % of Gross New ARR,Annualized $ Net Expansion (in %),Net Expansion TTM (in %),Quick Ratio,Quick Ratio TTM,LTM Capital Efficiency (ARR),LTM New Revenue/ Cash Burn,LTM GP / LTM Cash Burn,LTM GP / LTM S&M,Capital Efficiency (NNARR/Cash Burn),LTM Rule of 40% (ARR),LTM Rule of 40% (Rev),LTM Magic Number (ARR),LTM Magic Number (Rev),"ACV (EoP, Aggregate)",ACV YoY Growth (in %),New ARR / New Customers,New ARR / New Customers YoY Growth (in %),CAC Payback (months),LTV/CAC (TTM),LTV/CAC,CAC,LTV,Customer Lifetime,New Customers,Churned Customers,Customers (EoP),Annualized Logo Churn (in %),Headcount (HC),HC YoY Growth (in %),Sales Reps,Sales Reps as % of HC,Sales Reps YoY Growth (in %),Research & Development HC,R&D HC as % of HC,R&D HC YoY Growth (in %),General & Administrative HC,G&A as % of HC,G&A YoY Growth (in %),ARR / HC,ARR / HC,RRR / HC,Opex Run Rate / HC,Cash Burn / HC,NNARR / Sales Reps,EqV,TEV/ARR,TEV/ARR Growth Adj.,TEV/ARR (end of cash),TEV/LTM Revenue,TEV/LTM Revenue Growth Adj.,TEV/LTM Revenue (end of cash),Quarter Order,Quarter_old,Date,Order
1005075,199,$ (USD),1,Cyber Security,3,Enterprise,2,Israel,3,ISR,3,Q1-FY19,2019-03-31T00:00:00.0000000,5260.460601,,1513.512786,1.256405054,1315.11515,,0.8689157849,,1065.195718,,249.9194323,80.974,1234.14115,0.9384282053,1008.072266,0.7665277571,,537.616,0.408797663,,269.7302466,0.2051000983,,200.7260198,0.1526299957,,226.0688839,6.89686,219.1720239,,,-0.225,-7.249,211.6980239,,,575,1400.89652,,747.1867152,1259.20422,-512.0175045,2592.8,469.9348767,20.50356031,-2.311911765,490.438437,,0.01999593821,-0.002254674022,0.07998375285,-0.009018696089,23.91967198,1.070965057,,212.1354476,,,,,,,,,,,37.83781965,,93.98697533,,,,,,3937.163071,,5,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,Q1,Q1-19,2019-01-01T00:00:00.0000000,1
1005082,199,$ (USD),1,Cyber Security,3,Enterprise,2,Israel,3,ISR,3,Q2-FY19,2019-06-30T00:00:00.0000000,3075.988764,260.5302086,1774.042995,1.444211211,768.9971909,,0.4334715637,,768.9971909,,0,79.609,689.3881909,0.896476865,1248.623738,1.6237039,,693.123,0.9013335916,,331.4961017,0.4310758291,,224.0046365,0.2912944796,,-559.2355473,7.52386,-566.7594073,,,-0.4,-4.501,-571.6604073,-537.8142057,-179.2714019,575,1483.681613,,245.6999254,803.3167284,-557.6168029,3167.8,152.07,114.7006768,-6.240468182,266.7706768,,0.07578441219,-0.004123168459,0.3031376488,-0.01649267384,2.325798628,1.286644975,,42.74850365,,,,,,0.4844241856,,,,,40.31915897,,38.0175,,35.61183748,,33019.66277,0.06637229686,2191.590859,,4,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,Q2,Q2-19,2019-04-01T00:00:00.0000000,2
1005090,199,$ (USD),1,Cyber Security,3,Enterprise,2,Israel,3,ISR,3,Q3-FY19,2019-09-30T00:00:00.0000000,4755.399177,440.5596286,2214.602623,2.01325391,1188.849794,,0.5368230769,,503.8907275,,684.9590667,57.978,1130.871794,0.9512318543,1527.247579,1.284643011,,800.311,0.6731809215,,505.398,0.4251151007,,221.5385789,0.1863469885,,-396.3757848,8.1535,-404.5292848,,,0,-2.275,-406.8042848,-409.5724273,-136.5241424,2482,4812.673479,30.47967943,1570.588724,3384.76982,-1814.181096,0,459.736,1.55129009,-20.72766153,461.2872901,,0.000874437708,-0.01168385524,0.003497750832,-0.04673542094,0.003362958667,0.9567623299,,22.2546711,,,,,,1.07565744,,,,,45.1959719,,91.9472,,22.91653485,,13899.07464,0.06618416123,919.898597,,5,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,Q3,Q3-19,2019-07-01T00:00:00.0000000,3
1005095,199,$ (USD),1,Cyber Security,3,Enterprise,2,Israel,3,ISR,3,Q4-FY19,2019-12-30T00:00:00.0000000,10647.36933,858.7726,3073.375223,1.997285356,2661.842333,5934.804469,0.8660974141,,1381.848,,1279.994333,190.1130635,2471.72927,0.9285783906,2649.686922,0.9954334592,,1262.465574,0.4742826267,,818.3464229,0.3074360989,,568.8749253,0.2137147336,,-177.957652,1,-178.957652,,,-1.6,-622.315,-802.872652,-28.30462923,-9.43487641,2499.836,6626.99001,90.80617371,2297.318593,3454.28485,-1156.966257,0,886.7946,7.75,-35.772,894.5446,,0.003499499151,-0.01615278499,0.01399799661,-0.06461113994,0.008663626162,0.9493868567,1.065939805,25.00683775,32.48231656,,,,1.677881972,30.34035857,,,,,53.91886356,,110.849325,,18.99783179,,20072.39802,0.03860580736,774.9111313,,8,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,Q4,Q4-19,2019-10-01T00:00:00.0000000,4
1005101,199,$ (USD),1,Cyber Security,3,Enterprise,2,Israel,3,ISR,3,Q1-FY20,2020-03-30T00:00:00.0000000,12945.48877,825.426386,3898.801609,1.575995159,3236.372193,7856.061512,0.830094095,1.460904045,1928.745153,,1307.62704,215.90115,3020.471043,0.9332891469,2599.774631,0.8032990262,,1472.667362,0.4550364649,,728.7944729,0.225188708,,398.3127964,0.1230738533,,420.6964119,8.72052,411.9758919,,,-0.225,1.004,412.7548919,387.5855044,129.1951681,0,5757.891,-96.1569301,4216.91586,4117.197602,99.71825763,0,805.2636667,50.28157197,-30.11885268,855.5452386,0.7444498109,0.01636037526,-0.00979992695,0.06544150105,-0.0391997078,0.05877137725,1.026241793,1.054758989,28.40563842,26.68721692,4.055884152,,12.4339206,1.729299881,,1.485253434,1.370162321,0.5640891724,1.817407242,59.98156322,0.58522779,100.6579583,0.07097773895,22.93989073,25772.96755,40754.14478,0.0350412332,1428.075491,,8,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,Q1,Q1-20,2020-01-01T00:00:00.0000000,5
1005106,199,$ (USD),1,Cyber Security,3,Enterprise,2,Israel,3,ISR,3,Q2-FY20,2020-06-30T00:00:00.0000000,3101.159498,120.997039,4019.798648,1.265896971,775.2898745,7862.354195,0.192867838,0.008182973369,775.2898745,,0,221.03575,554.2541245,0.7148992173,2417.939058,3.118754852,,930.6135998,1.200342776,,952.5001894,1.228572977,,534.8252685,0.6898390991,,-1863.684933,12.913,-1876.597933,,,-0.175,3.33455,-1873.438383,-1944.432434,-648.1441445,29838.08939,34877.799,134.4170644,3064.28994,4190.822726,-1126.532786,0,112.8986667,8.227372304,-0.129,121.126039,-0.5459544489,0.002110231073,-3.31E-05,0.008440924293,-0.0001323483603,0.06792405971,1.008308576,0.9851748889,938.9615424,26.88841506,1.125847821,,3.598155075,1.607083244,0.06222743299,1.009317083,-0.2483969145,0.5028496914,0.005636007583,58.25795142,0.4449198077,28.22466667,-0.2575875145,100,1333585.153,3195374.293,0.09848265058,314688.9299,,4,0,69,0,,,,,,,,,,,,,,,,,,,,,,,,,Q2,Q2-20,2020-04-01T00:00:00.0000000,6
1005112,199,$ (USD),1,Cyber Security,3,Enterprise,2,Israel,3,ISR,3,Q3-FY20,2020-09-30T00:00:00.0000000,6149.958048,366.3935877,4386.192236,0.9805775492,1537.489512,8210.993913,0.3505294409,0.2932580042,1270.582952,,266.90656,262.87688,1274.612632,0.8290220012,3306.780579,2.150766267,,1543.540165,1.003935411,,1223.327113,0.7956653385,,539.9133007,0.3511655178,,-2032.167947,21.119,-2053.286947,,,0.225,33.344,-2019.717947,-2081.402468,-693.8008227,0,32455.34,48.37059759,3163.47815,3948.954404,-785.476254,0,313.3075877,53.086,0,366.3935877,-0.2057149729,0.0132061341,0,0.0528245364,0,0.1448879068,1.052824536,1.009190441,,33.89297877,0.5922699071,,1.996715995,1.405387626,0.1760320713,0.5356723211,-0.1516472239,0.4168688992,0.2677063007,54.15052143,0.1981271594,26.10896564,-0.7160439291,60.97969675,,,0.03082875433,,,12,0,81,0,,,,,,,,,,,,,,,,,,,,,,,,,Q3,Q3-20,2020-07-01T00:00:00.0000000,7
1005124,199,$ (USD),1,Cyber Security,3,Enterprise,2,Israel,3,ISR,3,Q4-FY20,2020-12-30T00:00:00.0000000,21558.22069,2506.678247,6892.870483,1.242768937,5389.555173,10938.70675,0.7819028641,1.024746209,5389.555173,,0,476.8649099,4912.690263,0.911520544,6184.671786,1.147529172,,2671.915035,0.4957579892,,1859.79789,0.3450744692,,1652.95886,0.3066967138,,-1271.981523,-36.77577,-1235.205753,,,-117.857,-21.63048,-1374.693233,-1041.224435,-347.0748117,-7.00E-05,29781.0833,57.22313467,8456.1389,7608.582959,847.555941,0,2535.96725,42.375,-71.66400265,2578.34225,1.882295919,0.009660999273,-0.01633854578,0.03864399709,-0.06535418313,0.01643497872,0.973289814,1.01516618,35.978206,38.47841944,0.816223233,1.069330113,2.086137975,1.474908173,2.407433175,0.8087927737,0.5907700451,0.5770732004,1.648479572,65.02708003,0.2060172587,101.43869,-0.08489573572,14.03262231,,75401.19667,0.01202843387,906.9583082,,25,0,106,0,,,,,,,,,,,,,,,,,,,,,,,,,Q4,Q4-20,2020-10-01T00:00:00.0000000,8
1005138,199,$ (USD),1,Cyber Security,3,Enterprise,2,Israel,3,ISR,3,Q1-FY21,2021-03-30T00:00:00.0000000,,324.024,7216.894483,0.8510545564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.515,34.46,-16.951,340.975,-0.6014529862,0.004999368563,-0.002459207676,0.01999747425,-0.009836830703,0.1010631278,1.010160644,1.011145892,20.11533243,38.38948858,,,,,,,,,,63.30609196,0.05542584358,38.314375,-0.619360698,,,,,,,8,0,114,0,,,,,,,,,,,,,,,,,,,,,,,,,Q1,Q1-21,2021-01-01T00:00:00.0000000,9
1729730,51727,$ (USD),1,Sales & Productivity,9,Mixed,1,United Kingdom,7,EU,2,Q1-FY18,2018-03-31T00:00:00.0000000,628.5181332,,623.01024,,157.1295333,,0.2522101937,,,,,81.1104938,76.0190395,0.4837985444,550.2127965,3.501651058,,140.2488009,0.8925680483,,91.95019275,0.5851872071,,318.0138028,2.023895802,,-474.193757,,-474.193757,,,0,,-474.193757,,,,243.3855299,,,,,,301.24656,2.03856,-47.79108,303.28512,,0.005546857526,-0.1300380228,0.02218743011,-0.5201520913,148.7741935,0.5020353389,,6.346061232,,,,,,,,,,,12.4602048,,9.717630968,,,,,,11.58935828,1.2,31,-5,50,-0.8333333333,,,,,,,,,,,,,,,,,,,,,,,,,Q1,Q1-18,2018-01-01T00:00:00.0000000,1
1729731,51727,$ (USD),1,Sales & Productivity,9,Mixed,1,United Kingdom,7,EU,2,Q2-FY18,2018-06-30T00:00:00.0000000,1109.921337,341.44236,964.4526,,277.4803343,,0.2877075911,,,,,91.0041269,186.4762074,0.6720339583,752.5628185,2.712130286,,270.1658153,0.9736395047,,113.4222594,0.4087578303,,368.9747438,1.329732951,,-566.0866111,,-566.0866111,,,0,,-566.0866111,-1190.36433,-396.7881101,1800,853.0211997,,,,,,489.04068,24.66,-172.25832,513.70068,,0.03958201393,-0.2764935613,0.1583280557,-1.105974245,20.83133333,0.05235381043,,2.982153083,,,,,,0.2868385345,,,,,13.97757391,,13.58446333,,14.12872667,,1.131748969,7.504605979,8.493330079,0.7352941176,36,-17,69,-1.36,,,,,,,,,,,,,,,,,,,,,,,,,Q2,Q2-18,2018-04-01T00:00:00.0000000,2
1729732,51727,$ (USD),1,Sales & Productivity,9,Mixed,1,United Kingdom,7,EU,2,Q3-FY18,2018-09-30T00:00:00.0000000,1919.51944,648.11412,1612.56672,,479.8798599,,0.2975875999,,,,,163.22043,316.6594299,0.6598723063,1036.996927,2.160951132,,393.5404015,0.820081096,,190.5632255,0.3971061122,,452.8932996,0.943763924,,-720.3374967,,-720.3374967,,,0,,-720.3374967,-667.8509581,-222.616986,,185.1702416,0.5978970558,,,,,851.41116,75.22944,-278.52648,926.6406,,0.07800221597,-0.2887922952,0.3120088639,-1.155169181,0.08118513262,0.1568396829,,3.326938968,,,,,,0.9704472415,,,,,15.96600713,,15.48020291,,11.04229092,,1.274629579,7.155280027,9.120331567,0.75,55,-23,101,-1.333333333,,,,,,,,,,,,,,,,,,,,,,,,,Q3,Q3-18,2018-07-01T00:00:00.0000000,3
1729733,51727,$ (USD),1,Sales & Productivity,9,Mixed,1,United Kingdom,7,EU,2,Q4-FY18,2018-12-30T00:00:00.0000000,2442.082047,513.22392,2125.79064,,610.5205117,1525.010239,0.287196914,,,,,267.2846847,343.235827,0.5622019579,1508.186077,2.470328267,,450.0240938,0.737115437,,319.1493956,0.5227496694,,739.012588,1.21046316,,-1164.95025,,-1164.95025,,,0,,-1164.95025,-989.3070379,-329.7690126,3398.2,2594.063204,9.392212004,,,,,893.8428,16.55508,-397.17396,910.39788,,0.01026629149,-0.2462992415,0.04106516597,-0.985196966,0.01818444481,0.05586819998,0.1917742581,2.292189246,2.962907903,,,,0.7355708683,0.5187711199,,,,,15.51672,,12.58933521,,18.71620394,,1.396985164,6.338367518,8.854605388,0.7214285714,71,-35,137,-1.386138614,,,,,,,,,,,,,,,,,,,,,,,,,Q4,Q4-18,2018-10-01T00:00:00.0000000,4
1729734,51727,$ (USD),1,Sales & Productivity,9,Mixed,1,United Kingdom,7,EU,2,Q1-FY19,2019-03-30T00:00:00.0000000,3368.10538,790.69824,2916.48888,3.681285624,842.0263449,2209.907051,0.2887123454,4.35880383,,,,332.6571665,509.3691784,0.6049325909,1683.568208,1.999424624,2.059849242,637.2206301,0.7567704193,3.54350145,288.9394089,0.3431477063,2.142346962,757.4081693,0.8995064987,1.381683318,-1174.19903,,-1174.19903,,,0,,-1174.19903,-1181.229978,-393.7433258,322.6483,1735.481526,4.797379212,,,,,1162.8012,132.72012,-504.82308,1295.52132,3.271628361,0.06243329776,-0.2374754458,0.249733191,-0.9499017834,0.1024453384,0.2998314077,0.1412232753,2.566287817,2.69537953,0.569277649,,0.3365162563,0.7742881946,0.6693855177,2.040685678,2.718203884,1.309847459,1.564628216,15.34994147,0.2319172694,12.63914348,0.3006404051,15.9864973,1.297913786,1.411344397,6.926311196,9.775410498,0.8782051282,92,-39,190,-1.138686131,,,,,,,,,,,,,,,,,,,,,,,,,Q1,Q1-19,2019-01-01T00:00:00.0000000,5
1729735,51727,$ (USD),1,Sales & Productivity,9,Mixed,1,United Kingdom,7,EU,2,Q2-FY19,2019-06-30T00:00:00.0000000,4300.787132,811.69212,3728.181,2.865592773,1075.196783,3007.623499,0.2883971521,2.874857602,,,,367.9101846,707.2865983,0.6578206051,2431.184212,2.261152796,2.230539899,827.7786463,0.7698857172,2.063965164,379.4654083,0.3529264729,2.345599094,1223.940157,1.138340606,2.317138037,-1723.897614,,-1723.897614,,,0,,-1723.897614,-1310.004028,-436.6680095,,425.4774978,1.024739137,,,,,1402.87452,54.663,-645.8454,1457.53752,1.837328384,0.01874274247,-0.2214462069,0.07497096989,-0.8857848277,0.03750366577,0.1891861422,0.1754313582,2.256790123,2.513236658,0.6662167892,,0.4523562462,0.8128651487,0.6196103999,1.275172831,1.284437661,1.19716355,1.38218655,16.35167105,0.1698504443,15.76263506,0.1603428615,18.60358583,1.342282867,1.305621116,9.300883666,12.14343011,0.931372549,89,-51,228,-1.073684211,,,,,,,,,,,,,,,,,,,,,,,,,Q2,Q2-19,2019-04-01T00:00:00.0000000,6
